ID,Exp,R2,Eaten
1,C,0,0.0
1,C,1,1.5467894371368567
1,C,3,1.7088859473031834
1,C,6,1.8762022757479928
1,C,12,1.919777750461998
1,C,25,1.925826267998852
2,C,0,0.0
2,C,1,1.5402214047338554
2,C,3,1.5974608398353205
2,C,6,1.6200031935949273
2,C,12,1.7879305028923858
2,C,25,1.6923174298443031
3,C,0,0.0
3,C,1,1.723258284018625
3,C,3,2.0574995585288804
3,C,6,2.1027918008241677
3,C,12,2.087152110375581
3,C,25,2.294925255023774
4,C,0,0.0
4,C,1,1.2946532792755725
4,C,3,1.6709315907654843
4,C,6,1.7076614338471514
4,C,12,1.7058202021285924
4,C,25,1.5808168028359273
5,C,0,0.0
5,C,1,1.4953345292161295
5,C,3,1.6533830267255372
5,C,6,1.7220013059837234
5,C,12,1.6431711215943574
5,C,25,1.9034558936131787
6,C,0,0.0
6,C,1,1.5960085240371669
6,C,3,1.813874077487953
6,C,6,1.7411940383826385
6,C,12,1.6753939624201968
6,C,25,1.6095073167097402
7,C,0,0.0
7,C,1,1.8154788386700842
7,C,3,2.070870940700847
7,C,6,2.107129147446835
7,C,12,2.1233474586241115
7,C,25,2.235995630171041
8,C,0,0.0
8,C,1,1.7705384000460604
8,C,3,2.2372454396079404
8,C,6,2.242011511009027
8,C,12,2.063294516414869
8,C,25,2.421671466056515
9,C,0,0.0
9,C,1,1.77951143834628
9,C,3,2.0114567769716793
9,C,6,2.2287819314416732
9,C,12,2.480501667775375
9,C,25,2.3562364108384375
10,C,0,0.0
10,C,1,1.8238263345317405
10,C,3,1.9175651233680304
10,C,6,1.9137830388944108
10,C,12,2.1605657985566817
10,C,25,2.1775399189761075
11,C,0,0.0
11,C,1,1.4794219956285906
11,C,3,1.8045428267201993
11,C,6,1.799803984357587
11,C,12,1.9659508133176031
11,C,25,2.1778038036172993
12,C,0,0.0
12,C,1,1.5593843888009975
12,C,3,1.7386779836381288
12,C,6,1.809706765766267
12,C,12,1.8857671186123113
12,C,25,1.7999046657607989
13,C,0,0.0
13,C,1,1.784035117427776
13,C,3,2.1945807556693064
13,C,6,2.1034755872456743
13,C,12,2.181344844881915
13,C,25,2.290027036093743
14,C,0,0.0
14,C,1,1.3495727437126552
14,C,3,1.4089547032329595
14,C,6,1.5257372966697187
14,C,12,1.6604817488063317
14,C,25,1.5963523969336413
15,C,0,0.0
15,C,1,1.7795087770995761
15,C,3,1.8826466124556274
15,C,6,2.031297252093259
15,C,12,1.96164377802995
15,C,25,2.1405592724837232
16,I+,0,0.0
16,I+,1,1.7214897085743504
16,I+,3,1.7824200054920432
16,I+,6,1.85240729900623
16,I+,12,1.8964056728143228
16,I+,25,2.1288567032040655
17,I+,0,0.0
17,I+,1,1.437154851437364
17,I+,3,1.7503059930820044
17,I+,6,1.8564313427732138
17,I+,12,2.042164758061431
17,I+,25,1.8701041033824906
18,I+,0,0.0
18,I+,1,1.6749707618403706
18,I+,3,1.8892934283479388
18,I+,6,1.8571870012175578
18,I+,12,2.118041000957447
18,I+,25,2.160105562232538
19,I+,0,0.0
19,I+,1,1.3077789296265978
19,I+,3,1.5639556320219745
19,I+,6,1.6775397193336563
19,I+,12,1.6920001823124011
19,I+,25,1.7338703149273136
20,I+,0,0.0
20,I+,1,1.622224487059039
20,I+,3,1.906752545910499
20,I+,6,2.1186117958203234
20,I+,12,2.0017373205413107
20,I+,25,2.205424666345967
21,I+,0,0.0
21,I+,1,1.5814147644599998
21,I+,3,1.7108676979221618
21,I+,6,1.8716060413764781
21,I+,12,1.6622547200087852
21,I+,25,1.8330288902060836
22,I+,0,0.0
22,I+,1,1.5465751155622092
22,I+,3,1.5715867650678468
22,I+,6,1.556711121441459
22,I+,12,1.7224972338185056
22,I+,25,1.6072103238624331
23,I+,0,0.0
23,I+,1,1.5905727147951036
23,I+,3,1.7817300808832848
23,I+,6,1.8461581705196661
23,I+,12,1.6633038639817952
23,I+,25,1.8266103928288768
24,I+,0,0.0
24,I+,1,1.7159600956930479
24,I+,3,1.75466492542655
24,I+,6,1.9999771472195114
24,I+,12,1.88808846715387
24,I+,25,1.9342714094828493
25,I+,0,0.0
25,I+,1,1.5270850790155583
25,I+,3,1.7428891309563004
25,I+,6,1.7207341453542828
25,I+,12,1.6227555895811123
25,I+,25,1.815403486721254
26,I+,0,0.0
26,I+,1,1.469005103121483
26,I+,3,1.760414265327365
26,I+,6,1.9495598133404402
26,I+,12,1.841251901819601
26,I+,25,1.7191333486658098
27,I+,0,0.0
27,I+,1,1.7414510526292089
27,I+,3,2.008272401578951
27,I+,6,2.0534371898770094
27,I+,12,2.0712691119763256
27,I+,25,2.0034595546040843
28,I+,0,0.0
28,I+,1,1.89514327652739
28,I+,3,2.131873413487328
28,I+,6,2.200325690076887
28,I+,12,2.660987018816602
28,I+,25,2.5714421442310105
29,I+,0,0.0
29,I+,1,2.097126917942766
29,I+,3,2.175040044192316
29,I+,6,2.519683103251463
29,I+,12,2.6161267113516145
29,I+,25,2.553825818512342
30,I+,0,0.0
30,I+,1,2.185226167203667
30,I+,3,2.551886449882547
30,I+,6,3.094216515475554
30,I+,12,3.1427123839171442
30,I+,25,2.9122938628117963
31,I-,0,0.0
31,I-,1,1.5956352168475785
31,I-,3,1.8614182851141612
31,I-,6,1.9283499799026254
31,I-,12,2.071106403316913
31,I-,25,2.026106853372029
32,I-,0,0.0
32,I-,1,1.7075487296045602
32,I-,3,2.198461022077956
32,I-,6,2.0756328633525696
32,I-,12,2.1040778140612706
32,I-,25,2.0358562593956386
33,I-,0,0.0
33,I-,1,1.597771843602836
33,I-,3,1.6396517310670806
33,I-,6,1.6968729972557965
33,I-,12,1.7014048078298252
33,I-,25,1.7996738184665677
34,I-,0,0.0
34,I-,1,2.140945914871276
34,I-,3,2.5266390167753157
34,I-,6,2.7679433004949625
34,I-,12,2.703957379535476
34,I-,25,2.62010182194924
35,I-,0,0.0
35,I-,1,1.6906752322736935
35,I-,3,1.8630325562133951
35,I-,6,2.0760205564171827
35,I-,12,2.018888949870023
35,I-,25,2.098634522240737
36,I-,0,0.0
36,I-,1,1.7714614476062285
36,I-,3,1.9148919554651775
36,I-,6,1.9509583816737592
36,I-,12,2.0592586581582726
36,I-,25,2.038925723994325
37,I-,0,0.0
37,I-,1,1.6339649423645581
37,I-,3,1.6855217973561643
37,I-,6,1.7024357626851225
37,I-,12,1.818611441955175
37,I-,25,1.7636836710166817
38,I-,0,0.0
38,I-,1,1.750303550135143
38,I-,3,2.0416284400228255
38,I-,6,2.1422498346151513
38,I-,12,2.174686746394325
38,I-,25,2.096020406115829
39,I-,0,0.0
39,I-,1,1.7327241340889048
39,I-,3,1.8212505092705404
39,I-,6,2.0243677552129586
39,I-,12,2.137269816830813
39,I-,25,2.043187256884697
40,I-,0,0.0
40,I-,1,1.4841509540835518
40,I-,3,1.6123312138802732
40,I-,6,1.5974900726908587
40,I-,12,1.7657387394996755
40,I-,25,1.5349083777928867
41,I-,0,0.0
41,I-,1,1.851917979354146
41,I-,3,2.096275498182758
41,I-,6,2.106333754778498
41,I-,12,2.145621607914777
41,I-,25,2.0591794344325693
42,I-,0,0.0
42,I-,1,1.788611389375134
42,I-,3,2.017191968265523
42,I-,6,1.905826460827202
42,I-,12,2.0572453132139366
42,I-,25,2.0618105100579247
43,I-,0,0.0
43,I-,1,1.7483357043743382
43,I-,3,1.9499298378400467
43,I-,6,2.0557074594798634
43,I-,12,2.1598644252435855
43,I-,25,2.2145216580026545
44,I-,0,0.0
44,I-,1,1.7497841699227117
44,I-,3,2.0232742043560443
44,I-,6,1.918348673811528
44,I-,12,2.0585214379808052
44,I-,25,1.9945389281743668
45,I-,0,0.0
45,I-,1,1.6088430603241415
45,I-,3,1.7483406478236454
45,I-,6,1.8724569764768864
45,I-,12,2.0270539203622433
45,I-,25,1.7697011018453666
